r_as,thruput
4.349999999999999700e-02,1.492846000057715949e-01
6.099999999999999867e-02,1.494188721627436878e-01
7.850000000000000033e-02,1.506454960470939297e-01
9.550000000000000155e-02,1.499418361868318783e-01
1.130000000000000032e-01,1.496344608255213982e-01
1.305000000000000049e-01,1.501825253588976172e-01
