low,mid, high ,high+
1.00E-06,1.00E-02,1,1
1.00E-06,1.00E-02,1,1
1.00E-06,1.00E-02,1,1
1.00E-06,1.00E-02,1,1
1.00E-06,1.00E-02,1,1
1.00E-06,1.00E-02,1,1
