r_as,thruput
4.349999999999999700e-02,1.505265119402668383e-01
6.099999999999999867e-02,1.494865769108280062e-01
7.850000000000000033e-02,1.500704115739293909e-01
9.550000000000000155e-02,1.495973642589316921e-01
1.130000000000000032e-01,1.500019877721452677e-01
1.305000000000000049e-01,1.497244658470603951e-01
