r_as,core_contrast
4.349999999999999700e-02,9.971394681371545690e-11
6.099999999999999867e-02,1.006358718066206656e-10
7.850000000000000033e-02,9.904045298590955769e-11
9.550000000000000155e-02,1.003529241246410247e-10
1.130000000000000032e-01,9.979467220197167644e-11
1.305000000000000049e-01,9.932834038352945697e-11
