r_as,core_contrast
4.349999999999999700e-02,9.992399808146260463e-11
6.099999999999999867e-02,9.986330601120749620e-11
7.850000000000000033e-02,1.002851411639873964e-10
9.550000000000000155e-02,9.952351568892754727e-11
1.130000000000000032e-01,1.004849082070420676e-10
1.305000000000000049e-01,1.007977422638940274e-10
