r_as,thruput
4.349999999999999700e-02,1.497966424585008560e-01
6.099999999999999867e-02,1.499749927811264705e-01
7.850000000000000033e-02,1.496136641016131419e-01
9.550000000000000155e-02,1.506113165425556621e-01
1.130000000000000032e-01,1.505780267735250255e-01
1.305000000000000049e-01,1.498295506116757436e-01
