low,mid, high ,high+
5.00E-05,6.67E-05,2.00E-04,2.00E-04
1.15E-02,3.82E-02,1.00E+00,1.00E+00
1.15E-02,3.82E-02,1.00E+00,1.00E+00
1.15E-02,1.92E-01,2.86E-01,1.00E+00
5.71E-02,1.92E-01,2.86E-01,1.00E+00
5.71E-02,1.92E-01,2.86E-01,1.00E+00
