r_as,core_thruput
4.349999999999999700e-02,1.000000000000000021e-02
6.099999999999999867e-02,8.000000000000000167e-02
7.850000000000000033e-02,1.548410791823550681e-01
9.550000000000000155e-02,1.311711258866767038e-01
1.130000000000000032e-01,1.746180515211767648e-01
1.305000000000000049e-01,8.000000000000000167e-02
