r_as,thruput
4.349999999999999700e-02,1.498528088100653244e-01
6.099999999999999867e-02,1.499561341178258511e-01
7.850000000000000033e-02,1.494940000500249722e-01
9.550000000000000155e-02,1.505725312759054468e-01
1.130000000000000032e-01,1.500671943607569114e-01
1.305000000000000049e-01,1.505369383214773260e-01
