low,mid, high ,high+
3.60E-05,2.50E-05,2.00E-04,2.00E-04
6.50E-03,9.10E-03,1.00E+00,1.00E+00
7.30E-03,7.80E-03,1.00E+00,1.00E+00
8.40E-03,1.30E-02,2.86E-01,1.00E+00
1.30E-02,9.40E-03,2.86E-01,1.00E+00
1.20E-02,1.50E-02,2.86E-01,1.00E+00
