r_as,thruput
4.349999999999999700e-02,1.501097110348073582e-01
6.099999999999999867e-02,1.505745971477859269e-01
7.850000000000000033e-02,1.501017994880916584e-01
9.550000000000000155e-02,1.501174629862193355e-01
1.130000000000000032e-01,1.504924590354796421e-01
1.305000000000000049e-01,1.494876758454402599e-01
