r_as,core_thruput
4.349999999999999700e-02,1.493862709801276334e-01
6.099999999999999867e-02,1.502578516217111526e-01
7.850000000000000033e-02,1.501000463550290487e-01
9.550000000000000155e-02,1.499576560435897377e-01
1.130000000000000032e-01,1.495053372295012117e-01
1.305000000000000049e-01,1.501756200079554515e-01
