r_as,core_contrast
4.349999999999999700e-02,2.009195648511832643e-11
6.099999999999999867e-02,2.097622245955690255e-11
7.850000000000000033e-02,2.051990643157840011e-11
9.550000000000000155e-02,1.924661933057523353e-11
1.130000000000000032e-01,1.949822816427323447e-11
1.305000000000000049e-01,2.061719412814696066e-11
